Symbol,Min_halflife,Max_halflife,Tissue_rolfs
AKR1C21,84.69799059842636,103.2301106635838,Liver
AKR1C6,70.21285752517076,106.46740693399602,Liver
AKR1D1,82.24825637020346,117.75700667825254,Liver
AKR1E1,56.70881995377091,78.45098954698751,Liver
AKR7A5,94.87044387474711,121.79172950755127,Liver
ALAD,84.68074488896549,102.63145371976637,Liver
ALB,34.71014737713334,637.6210169965042,Arytenoid Cartilage|Blood|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ALCAM,26.744368884342478,99.87111924979698,Arytenoid Cartilage|Cricoid Cartilage|Liver|Vocal Fold Mucosa
ALDH18A1,78.13777516880558,102.92991172774838,Cricoid Cartilage
ALDH1A1,67.61586933884672,354.7021819492833,Arytenoid Cartilage|Blood|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ALDH1A2,48.76310225249499,129.15785973166717,Arytenoid Cartilage|Cricoid Cartilage|Liver|Sternocleidomastoid Muscle|Vocal Fold Mucosa
ALDH1A3,48.76310225249499,129.15785973166717,Arytenoid Cartilage|Cricoid Cartilage|Liver|Sternocleidomastoid Muscle|Vocal Fold Mucosa
ALDH1A7,67.61586933884672,310.2486447858814,Arytenoid Cartilage|Blood|Cricoid Cartilage|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ALDH1B1,8.317766166719748,1216.9372592127788,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Vocal Fold Mucosa
ALDH1L1,77.17713910200126,328.5706563981838,Arytenoid Cartilage|Cricoid Cartilage|Liver
ALDH1L2,79.43621589837198,103.37765556448045,Liver
ALDH2,53.661276518301655,129.15785973166717,Arytenoid Cartilage|Cricoid Cartilage|Liver|Sternocleidomastoid Muscle|Vocal Fold Mucosa
ALDH3A1,42.66068042938498,128.21219524808282,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Thyroid Cartilage|Vocal Fold Mucosa
ALDH3A2,42.00998089203937,146.1693377861239,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Thyroid Cartilage|Vocal Fold Mucosa
ALDH3B1,71.19851201985313,120.13816952001199,Liver|Vocal Fold Mucosa
ALDH3B2,91.494512888773,120.13816952001199,Liver
ALDH3B3,91.494512888773,120.13816952001199,Liver
ALDH4A1,88.12593279353977,371.32884672838395,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage
ALDH5A1,112.91340754387251,163.49417526721135,Liver
ALDH6A1,103.27497102952611,364.89432624332795,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ALDH7A1,99.01513203640917,246.08775641163453,Arytenoid Cartilage|Cricoid Cartilage|Liver|Thyroid Cartilage|Vocal Fold Mucosa
ALDH8A1,84.52584895806403,112.94407178651929,Liver
ALDH9A1,91.494512888773,212.92118691205752,Arytenoid Cartilage|Cricoid Cartilage|Liver
ALDOA,56.81534266884806,573.0462395259669,Arytenoid Cartilage|Blood|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ALDOB,53.47326368832741,221.3349166237192,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Vocal Fold Mucosa
ALDOC,27.514029197576452,221.3349166237192,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ALG5,65.802509131113,91.43919273036818,Liver
ALOX12E,46.18928346689998,69.01851360178698,Cricoid Cartilage
ALOX15,51.80956222068168,85.3191729071633,Arytenoid Cartilage|Cricoid Cartilage
ALS2,95.84888415208948,367.7986366001974,Arytenoid Cartilage|Cricoid Cartilage
ALYREF,93.91707973487337,138.00839831954397,Liver
ALYREF2,93.91707973487337,138.00839831954397,Liver
AMACR,82.02520750178411,108.1493455560784,Liver
AMBP,8.317807755756894,48.20635872792394,Blood
AMDHD1,100.65060705128784,149.60011091221995,Liver
AMER1,5281.121375694828,8036.48904997038,Arytenoid Cartilage
AMPD1,131.44383954992705,216.32681838021756,Cricoid Cartilage|Sternocleidomastoid Muscle|Thyroid Cartilage
AMPD3,156.68769269501112,216.32681838021756,Sternocleidomastoid Muscle|Thyroid Cartilage
AMT,86.72018106363313,116.73238603211587,Liver
ANG,53.37033151568396,75.9682725976742,Arytenoid Cartilage
ANK1,334.44978555365424,382.9542434032863,Sternocleidomastoid Muscle
ANK2,71.25950881746721,250.72392363874673,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Vocal Fold Mucosa
ANKRD11,261.3184469594522,367.6360736671551,Liver
ANKRD2,98.08686517357745,134.98484528918166,Sternocleidomastoid Muscle
ANKRD44,411.7706023128405,533.3610879589219,Thyroid Cartilage
ANO2,93.0919548597508,176.59800778592557,Arytenoid Cartilage|Cricoid Cartilage|Thyroid Cartilage
ANP32-PS,78.8675500565909,149.7752078277759,Arytenoid Cartilage|Cricoid Cartilage|Liver
ANP32A,32.854469987436644,179.80471609847328,Arytenoid Cartilage|Cricoid Cartilage|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ANP32B,67.01120778826584,122.31109722400336,Liver
ANP32E,46.83558752622168,116.83896848882387,Arytenoid Cartilage|Cricoid Cartilage|Liver|Thyroid Cartilage
ANPEP,37.07082414136748,289.4142716325072,Arytenoid Cartilage|Cricoid Cartilage|Liver|Vocal Fold Mucosa
ANXA1,34.02993215390954,108.95685311395556,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Vocal Fold Mucosa
ANXA11,48.11433791305488,183.17036262319652,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle
ANXA2,72.70139119586881,284.4166923137914,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ANXA3,68.31560237131048,215.70970349366547,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Vocal Fold Mucosa
ANXA4,80.92393021081286,244.6761631627463,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Vocal Fold Mucosa
ANXA5,76.93799062730915,290.42479632391974,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ANXA6,76.93799062730915,376.28437759418244,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ANXA7,54.048319742157545,140.31319444531658,Arytenoid Cartilage|Liver
ANXA8,40.509259079137735,193.41393248961623,Arytenoid Cartilage|Cricoid Cartilage|Thyroid Cartilage|Vocal Fold Mucosa
AOC2,272.3564560156596,325.86743062558423,Cricoid Cartilage
AOC3,241.26950447316656,385.0817669777482,Arytenoid Cartilage|Cricoid Cartilage|Thyroid Cartilage
AOX1,42.37920296896798,82.78855545654784,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver
AOX3,62.60785191914555,93.07112192815674,Cricoid Cartilage|Liver|Vocal Fold Mucosa
AP1B1,85.7943905798716,173.5036747333726,Arytenoid Cartilage|Cricoid Cartilage|Liver|Vocal Fold Mucosa
AP1G1,58.82437175897712,108.69344876470942,Arytenoid Cartilage|Cricoid Cartilage|Liver
AP1M1,107.55500312560561,238.53645445137408,Liver
AP2A1,96.30388059185319,157.42909372038918,Cricoid Cartilage|Liver
AP2A2,99.2751228348543,200.23510271341985,Arytenoid Cartilage|Cricoid Cartilage|Liver
AP2B1,94.76236020187217,186.0797800160452,Arytenoid Cartilage|Cricoid Cartilage|Liver|Thyroid Cartilage
AP2M1,97.82154729764464,174.66959610911337,Arytenoid Cartilage|Cricoid Cartilage|Liver
AP2S1,109.63904523455297,179.8241523450301,Liver
AP3D1,73.93569925972734,104.31762923081892,Cricoid Cartilage
APC,90.33685763473132,284.5626468257502,Arytenoid Cartilage|Cricoid Cartilage|Liver
APEH,70.81963530624141,315.78459250974356,Blood|Liver
API5,43.01588274361626,84.07303953827588,Arytenoid Cartilage|Liver
APIP,94.45030564603897,155.3125976419876,Arytenoid Cartilage|Cricoid Cartilage|Liver
APMAP,77.38536695090825,257.7154505566996,Laryngeal Muscle|Liver
